Model,MPN,Body Color,Brand,UPC,Body Material,Body Type,Model Year,Size,Country/Region of Manufacture,String Configuration,Orientation,Product Line,Condition,Price
OTHER,NOT AVAILABLE,OTHER,PRS,PROVIDED,OTHER,SEMI-HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,381.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,227.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,MAHOGANY,SOLID,2018.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,305.0
OTHER,NOT AVAILABLE,OTHER,TAYLOR,PROVIDED,OTHER,DREADNOUGHT,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,559.0
OTHER,NOT AVAILABLE,OTHER,OTHER,PROVIDED,ASH,OTHER,2019.0,FULL SIZE,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,275.0
OTHER,NOT AVAILABLE,NATURAL,OTHER,PROVIDED,ASH,SOLID,2019.0,OTHER,JAPAN,6 STRING,RIGHT-HANDED,OTHER,Used,435.0
OTHER,NOT AVAILABLE,RED,FENDER,PROVIDED,OTHER,SOLID,2019.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,OTHER,Used,399.99
LES PAUL CLASSIC,NOT AVAILABLE,OTHER,GIBSON,PROVIDED,OTHER,OTHER,2006.0,OTHER,NOT AVAILABLE,6 STRING,NOT AVAILABLE,GIBSON LES PAUL,Used,1105.0
OTHER,PROVIDED,OTHER,ESP,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,New,1049.0
OTHER,NOT AVAILABLE,BLUE,UNBRANDED,PROVIDED,OTHER,OTHER,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,OTHER,Used,65.0
OTHER,NOT AVAILABLE,OTHER,RICKENBACKER,PROVIDED,OTHER,OTHER,2019.0,FULL SIZE,NOT AVAILABLE,OTHER,NOT AVAILABLE,OTHER,NOT AVAILABLE,3275.0
OTHER,NOT AVAILABLE,BLACK,ESP,PROVIDED,OTHER,HOLLOW,2019.0,OTHER,NOT AVAILABLE,6 STRING,RIGHT-HANDED,ESP LTD,Used,710.0
